,Tweets,Subjectivity,Polarity,Analysis
48,$ampl $aave 💎 ,0.0,0.0,Neutral
49,"Buy the dip!

$YFI $GRT $AAVE $AVAX $BTC $ETH",0.0,0.0,Neutral
50,"RT @bycoinhunter: Bu tweeti RT'leyen tüm takipçilerimize: 👇 ŞART YOK

1⃣Binance üzerinde 2x Beklentimin olduğu 10 parite ve analizi

2⃣200$…",0.0,0.0,Neutral
51,"#cryptocurrency market capitalization $1.5T.

$eth $btc $ada $snx $etc $mkr $aave $egld $yfii $ksm $dot $uni $akro… ",0.0,0.0,Neutral
52,"@OKEx @BriFitDance 

I would $DAI for you.
When I see you, my heart starts to $PAX
Love is a $Ripple of desire, und… ",0.6,0.5,Positive
53,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
54,@cryptofutterman More $aave. Be like @mcuban who is a $aave maxi 💰 🤑,0.5,0.5,Positive
55,lol the flash drop in $AAVE,0.7,0.8,Positive
56,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
57,"Was doing some more dd last night on #YieldFarming:

$AAVE $COMP $MKR

Specifically $DAI - the first decentralized… ",0.3,0.25,Positive
58,"@CryptoSenorita Get some ships you $MUST 🚀

🌌☄️Jerome de Tychey, president of #Ethereum France decided to let us fl… ",0.0,0.0,Neutral
59,@bitpanda $Aave,0.0,0.0,Neutral
60,"@HodlBee I like getting rich while having fun 🪐💰🌌

🚀Powered by #ComethSwap, the @MUSTCometh game offers u to flow a… ",0.3375,0.09375,Positive
61,Valeurs que je surveille aujourd'hui $aave $RLC (breakout) $kcs,0.0,0.0,Neutral
62,"@binance I am #staking $MUST to buy @MUSTCometh ships 🚀

I'm gaining rewards in $ETH, $LINK, or $AAVE through comet… ",0.0,0.0,Neutral
63,"$alts look dead. 

out of $bao for decent profit.maybe buy the dip at 0.0013 ish? if it keeps pumping then oh well.… ",0.5333333333333333,-0.016666666666666677,Negative
64,"$AAVE way oversold. Nice dip to get in if you don't have any already
$ETH",1.0,0.6,Positive
65,@zerohedge $bzrx is the next $aave,0.0,0.0,Neutral
66,"RT @YieldFarmerJoe: Following up on the narrative that retail is sick of eth gas, I added to L1 alts: $egld 

L2 scaling matic turned out t…",0.47857142857142854,-0.35714285714285715,Negative
67,"RT @DeepDishCrypto: Just curious... how addicted to #crypto are you all?

$TEL $RSR $BTC $SNTVT $BAL $UNI $LINK $DOGE $ETH $XRP $AAVE $ADA…",0.8,-0.25,Negative
68,$BTC $ETH  $DOT $LINK  $BNB $UNI $AAVE $SNX $SUSHI $XRP $BCH $LTC #BTC $rvn $avax #defi #crypto $grt $algo $avax… ,0.0,0.0,Neutral
69,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
70,"RT @kriptoemrah: Toplam Staked Miktarına Göre En İyi 🔝🔟 Coinler 💵

$ADA 18.83B $
$DOT 17.32B $
$AVAX 11.74B $
$ALGO 6.02B $
$ETH 5.07B $
$A…",0.0,0.0,Neutral
71,"RT @DeepDishCrypto: $300 USD #Telcoin Giveaway

To celebrate V2 wallet a winner will be chosen when $TEL reaches 12 Sats💵

Rules:
1) Must f…",0.0,0.0,Neutral
72,"RT @TheJonnyReid: TVL up another 10m now for $IDLE
117M And still rising 

1b+ incoming easy for this one.

$YFI $SNX $MKR $ETH $AAVE https…",0.8333333333333334,0.43333333333333335,Positive
73,"RT @bycoinhunter: Bu tweeti RT'leyen tüm takipçilerimize: 👇 ŞART YOK

1⃣Binance üzerinde 2x Beklentimin olduğu 10 parite ve analizi

2⃣200$…",0.0,0.0,Neutral
74,"@OKEx I would $DAI for you.
When I see you, my heart starts to $PAX
Love is a $Ripple of desire, understanding and… ",0.6,0.5,Positive
75,RT @bubby_io: 82% score for $AMP @FlexaHQ on @DefiSafety! Good look! Up there with the likes of $COMP $SNX $BNT $YFI $AAVE. ,0.6000000000000001,0.875,Positive
76,"RT @kriptoemrah: Toplam Staked Miktarına Göre En İyi 🔝🔟 Coinler 💵

$ADA 18.83B $
$DOT 17.32B $
$AVAX 11.74B $
$ALGO 6.02B $
$ETH 5.07B $
$A…",0.0,0.0,Neutral
77,"#SmartCredit Video AMA - 2021 02 14 

#DeFi #DecentralisedFinance #Altcoin #altseason $Aave $alpha $Cel ",0.0,0.0,Neutral
78,"RT @linkchainlink: What makes $LINK marines brilliant? 

-Iron hands 
-Knowledgeable about Oracles 
-Creative memes 
-Brotherhood of commun…",1.0,0.7,Positive
79,"RT @DeepDishCrypto: Just curious... how addicted to #crypto are you all?

$TEL $RSR $BTC $SNTVT $BAL $UNI $LINK $DOGE $ETH $XRP $AAVE $ADA…",0.8,-0.25,Negative
80,"Just curious... how addicted to #crypto are you all?

$TEL $RSR $BTC $SNTVT $BAL $UNI $LINK $DOGE $ETH $XRP $AAVE… ",0.8,-0.25,Negative
81,"What are your top 5 in your crypto portfolio? 

$ADA $LINK $ATOM $XLM $DOT $UNI $VET $BTC $ETH $XRP $LTC $DOGE… ",0.5,0.5,Positive
82,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
83,"@AltcoinDailyio I am scooping $MUST dip! 💕

@MUSTCometh game 🎮 launched recently and already became one of the best… ",0.325,-0.2,Negative
84,"Toplam Staked Miktarına Göre En İyi 🔝🔟 Coinler 💵

$ADA 18.83B $
$DOT 17.32B $
$AVAX 11.74B $
$ALGO 6.02B $
$ETH 5.0… ",0.0,0.0,Neutral
85,"@mooongirlcrypto You like $aave? Take a look at $ersdl

Roadmap and more details here:

",0.5,0.5,Positive
86,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
87,$crv $aave $comp $knc $sushi bakabildiklerim bunlar. PA verileri destekler nitelikte. 4 saatlikte henüz işaret gelm… ,0.0,0.0,Neutral
88,"RT @linkchainlink: What makes $LINK marines brilliant? 

-Iron hands 
-Knowledgeable about Oracles 
-Creative memes 
-Brotherhood of commun…",1.0,0.7,Positive
89,"@OKEx I would $DAI for you.

When I see you, my heart starts to $PAX

Love is a $Ripple of desire, understanding an… ",0.6,0.5,Positive
90,"RT @biswajitharic11: @OKEx I would $DAI for you.
When I see you, my heart starts to $PAX
Love is a $Ripple of desire, understanding and aff…",0.6,0.5,Positive
91,"I hope $BTC isnt planning on forming a bearish head and shoulders here??

$ETH $ADA $RUNE $XLM $OCEAN $REN $KSM… ",0.0,0.0,Neutral
92,Consumers are the product 😡 Billions of advertisement dollars are wasted and stolen each year from #advertisement p… ,0.0,-0.2,Negative
93,RT @CryptoTreasure_: $zap @ZapProtocol is about to BLOW🚀 100x gains soon! $ada $akro $gvt $req $qsp $matic $egld $xvs $avax $doge $fet $aav…,0.0,0.0,Neutral
94,"RT @Crypton91233635: I am the real fan of Defi and I’ve came across the new gem! 💎

🚀 all tools on one single platform
🚀 NFT asset tracking…",0.322943722943723,0.0996753246753247,Positive
95,"RT @ColdBrewCrypto: Tweet your top 10 #AltCoin #Crypto projects:

1. $LINA
2. $REEF
3. $DOT
4. $BNB
5. $BMI
6. $PAID
7. $AAVE
8. $GRT
9. $A…",0.5,0.5,Positive
96,"RT @DeepDishCrypto: $300 USD #Telcoin Giveaway

To celebrate V2 wallet a winner will be chosen when $TEL reaches 12 Sats💵

Rules:
1) Must f…",0.0,0.0,Neutral
97,$btc $eth $xrp $link $ltc $dot $ada $ltc $bch $xlm $bsv $xmr $eos $trx $snx $theta $xtz $cel $xem $aave $atom $neo… ,0.0,0.0,Neutral
98,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
99,being stupid and market shorted $aave ,1.0,-0.7999999999999999,Negative
